Name,Gender,Department,Sum of Salary,Location,Rating,Gender_Status,Salary (bins)
Abbie Tann,Female,Business Development,116520,Lagos,Good,Female,110000
Abigael Basire,Male,Engineering,61620,Abuja,Average,Male,60000
Abigael Basire,Male,Engineering,61620,Lagos,Poor,Male,60000
Abramo Labbez,Female,Research and Development,77000,Lagos,Average,Female,70000
Abran Danielsky,Female,Engineering,32720,Kaduna,Average,Female,30000
Addi Studdeard,Female,Product Management,72500,Abuja,Poor,Female,70000
Addi Studdeard,Female,Product Management,72500,Lagos,Very Poor,Female,70000
Addia Penwright,Male,Research and Development,28130,Abuja,Poor,Male,20000
Addy Pimblett,Male,Product Management,66460,Lagos,Average,Male,60000
Adela Dowsett,Male,Support,95020,Lagos,Average,Male,90000
Adelina Cheeseman,Male,Support,45510,Kaduna,Very Good,Male,40000
Adella Hartshorne,Female,Human Resources,41160,Abuja,Good,Female,40000
Adella Hartshorne,Female,Human Resources,41160,Lagos,Average,Female,40000
Adey Ryal,Female,Legal,32500,Lagos,Average,Female,30000
Adi Seawright,Female,Marketing,48590,Kaduna,Very Poor,Female,40000
Adolph Hartin,Male,Product Management,89960,Lagos,Poor,Male,80000
Adolph McNalley,Male,Business Development,85920,Abuja,Poor,Male,80000
Adrianne Gave,Male,Engineering,78440,Lagos,Poor,Male,70000
Aeriela Aickin,Male,Product Management,37550,Abuja,Average,Male,30000
Aeriell Cuell,Male,Legal,108290,Abuja,Very Poor,Male,100000
Agnes Collicott,Female,Sales,83750,Abuja,Average,Female,80000
Aida Bleacher,Male,Product Management,87810,Abuja,Not Rated,Male,80000
Aile Strathearn,Female,Marketing,114600,Lagos,Good,Female,110000
Aileen McCritchie,Male,Business Development,80170,Lagos,Average,Male,80000
Aindrea Lenormand,Female,Human Resources,71180,Abuja,Good,Female,70000
Aldrich Glenny,Male,Business Development,90880,Abuja,Not Rated,Male,90000
Aldrich Glenny,Male,Business Development,90880,Kaduna,Average,Male,90000
Aleksandr Botha,Male,Sales,60260,Abuja,Not Rated,Male,60000
Alexandros Rackley,Female,Legal,75730,Kaduna,Not Rated,Female,70000
Alexine Portail,Female,Sales,60330,Lagos,Average,Female,60000
Alexis Gotfrey,Male,Engineering,114470,Lagos,Very Good,Male,110000
Alford Gerardi,Female,Engineering,37130,Lagos,Not Rated,Female,30000
Alfred Peplay,Female,Human Resources,60580,Kaduna,Not Rated,Female,60000
Alfred Peplay,Female,Human Resources,60580,Lagos,Very Good,Female,60000
Ali Roubert,"",Engineering,69460,Abuja,Very Good,Undisclosed,60000
Alic Bagg,Male,Legal,113750,Kaduna,Average,Male,110000
Alicea Pudsall,Male,Accounting,67630,Abuja,Average,Male,60000
Alida Welman,Male,Human Resources,69860,Kaduna,Average,Male,60000
Alida Welman,Male,Human Resources,69860,Lagos,Poor,Male,60000
Alikee Jecock,Female,Legal,85000,Kaduna,Poor,Female,80000
Alisha Bloschke,"",Product Management,36480,Abuja,Average,Undisclosed,30000
Allene Gobbet,Female,Engineering,78390,Abuja,Average,Female,70000
Allyce Hincham,Male,Business Development,101420,Lagos,Average,Male,100000
